Condition,Strain,Dilution,Raw,CFU/g,Day,tnt.cnt.no.growth,Replicate,v,mode
Stationary,APC,0,270,4.50E+03,0,cnt,2,50,
Stationary,MacConkey,0,0,0.00E+00,0,cnt,2,50,
Stationary,FSL R9-5515,0,660,1.10E+04,1,cnt,2,50,
Stationary,FSL R9-5258,0,1070,1.78E+04,1,cnt,2,50,
Stationary,FSL R9-5517,0,4040,6.73E+04,1,cnt,2,50,
Stationary,FSL R9-5271,0,1320,2.20E+04,1,cnt,2,50,
Stationary,FSL R9-5516,0,580,9.67E+03,1,cnt,2,50,
Stationary,FSL R9-4077,0,370,6.17E+03,1,cnt,2,50,
Stationary,APC,1,8700,1.45E+05,1,cnt,2,50,
Stationary,MacConkey,0,0,0.00E+00,1,cnt,2,50,
Stationary,FSL R9-5515,0,230,3.83E+03,3,cnt,2,50,
Stationary,FSL R9-5258,0,220,3.67E+03,3,cnt,2,50,
Stationary,FSL R9-5517,0,510,8.50E+03,3,cnt,2,50,
Stationary,FSL R9-5271,0,3400,5.67E+04,3,cnt,2,50,
Stationary,FSL R9-5516,0,1220,2.03E+04,3,cnt,2,50,
Stationary,FSL R9-4077,0,700,1.17E+04,3,cnt,2,50,
Stationary,APC,1,141000,2.35E+06,3,cnt,2,50,
Stationary,MacConkey,0,0,0.00E+00,3,cnt,2,50,
Stationary,FSL R9-5515,0,694,1.16E+04,4,cnt,2,50,
Stationary,FSL R9-5258,0,126,2.10E+03,4,cnt,2,50,
Stationary,FSL R9-5517,0,558,9.30E+03,4,cnt,2,50,
Stationary,FSL R9-5271,0,578,9.63E+03,4,cnt,2,50,
Stationary,FSL R9-5516,1,2940,4.90E+04,4,cnt,2,50,
Stationary,FSL R9-4077,0,568,9.47E+03,4,cnt,2,50,
Stationary,APC,0,9320,1.55E+05,4,cnt,2,50,
Stationary,MacConkey,0,0,0.00E+00,4,cnt,2,50,
Stationary,FSL R9-5515,0,780,1.30E+04,7,cnt,2,50,
Stationary,FSL R9-5258,0,450,7.50E+03,7,cnt,2,50,
Stationary,FSL R9-5517,0,420,7.00E+03,7,cnt,2,50,
Stationary,FSL R9-5271,0,130,2.17E+03,7,cnt,2,50,
Stationary,FSL R9-5516,0,1460,2.43E+04,7,cnt,2,50,
Stationary,FSL R9-4077,0,949,1.58E+04,7,cnt,2,50,
Stationary,APC,1,57600,9.60E+05,7,cnt,2,50,
Stationary,MacConkey,0,0,0.00E+00,7,cnt,2,50,
Stationary,FSL R9-5515,5,1140000000,3.80E+05,Inoculum,cnt,3,50,
Stationary,FSL R9-5258,5,876000000,2.92E+05,Inoculum,cnt,3,50,
Stationary,FSL R9-5517,5,1060000000,3.53E+05,Inoculum,cnt,3,50,
Stationary,FSL R9-5271,5,354000000,1.18E+05,Inoculum,cnt,3,50,
Stationary,FSL R9-5516,5,1050000000,3.50E+05,Inoculum,cnt,3,50,
Stationary,FSL R9-4077,5,1040000000,3.47E+05,Inoculum,cnt,3,50,
Stationary,FSL R9-5515,1,19000,3.17E+05,0,cnt,3,50,
Stationary,FSL R9-5258,1,9700,1.62E+05,0,cnt,3,50,
Stationary,FSL R9-5517,1,9100,1.52E+05,0,cnt,3,50,
Stationary,FSL R9-5271,1,9895,1.65E+05,0,cnt,3,50,
Stationary,FSL R9-5516,0,6640,1.11E+05,0,cnt,3,50,
Stationary,FSL R9-4077,1,10300,1.72E+05,0,cnt,3,50,
Stationary,APC,1,6500,1.08E+05,0,cnt,3,50,
Stationary,MacConkey,0,,0.00E+00,0,cnt,3,50,
Stationary,FSL R9-5515,0,3920,6.53E+04,1,cnt,3,50,
Stationary,FSL R9-5258,0,7890,1.32E+05,1,cnt,3,50,
Stationary,FSL R9-5517,0,9730,1.62E+05,1,cnt,3,50,
Stationary,FSL R9-5271,0,2750,4.58E+04,1,cnt,3,50,
Stationary,FSL R9-5516,0,4400,7.33E+04,1,cnt,3,50,
Stationary,FSL R9-4077,0,6190,1.03E+05,1,cnt,3,50,
Stationary,APC,0,3420,5.70E+04,1,cnt,3,50,
Stationary,MacConkey,0,0,0.00E+00,1,cnt,3,50,
Stationary,FSL R9-5515,0,1070,1.78E+04,3,cnt,3,50,
Stationary,FSL R9-5258,1,11000,1.83E+05,3,cnt,3,50,
Stationary,FSL R9-5517,0,1640,2.73E+04,3,cnt,3,50,
Stationary,FSL R9-5271,0,1450,2.42E+04,3,cnt,3,50,
Stationary,FSL R9-5516,1,8800,1.47E+05,3,cnt,3,50,
Stationary,FSL R9-4077,0,640,1.07E+04,3,cnt,3,50,
Stationary,APC,1,12000,2.00E+05,3,cnt,3,50,
Stationary,MacConkey,0,0,0.00E+00,3,cnt,3,50,
Stationary,FSL R9-5515,1,11400,1.90E+05,4,cnt,3,50,
Stationary,FSL R9-5258,1,4200,7.00E+04,4,cnt,3,50,
Stationary,FSL R9-5517,0,840,1.40E+04,4,cnt,3,50,
Stationary,FSL R9-5271,1,9300,1.55E+05,4,cnt,3,50,
Stationary,FSL R9-5516,1,900,1.50E+04,4,cnt,3,50,
Stationary,FSL R9-4077,1,18700,3.12E+05,4,cnt,3,50,
Stationary,APC,1,18200,3.03E+05,4,cnt,3,50,
Stationary,MacConkey,0,0,0.00E+00,4,cnt,3,50,
Stationary,FSL R9-5515,0,620,1.03E+04,7,cnt,3,50,
Stationary,FSL R9-5258,0,15200,2.53E+05,7,cnt,3,50,
Stationary,FSL R9-5517,0,2760,4.60E+04,7,cnt,3,50,
Stationary,FSL R9-5271,0,2430,4.05E+04,7,cnt,3,50,
Stationary,FSL R9-5516,0,1750,2.92E+04,7,cnt,3,50,
Stationary,FSL R9-4077,0,2300,3.83E+04,7,cnt,3,50,
Stationary,APC,1,109000,1.82E+06,7,cnt,3,50,
Stationary,MacConkey,0,0,0.00E+00,7,cnt,3,50,
