Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
FSL R9-5400,Glyc,4,6.14E+02,1.84E+04,cnt,1,1
FSL R9-5502,Glyc,4,0.00E+00,,no_growth,1,1
FSL R9-5344,Glyc,4,8.37E+03,2.51E+05,cnt,1,1
FSL R9-6232,Glyc,4,1.02E+01,3.06E+02,cnt,1,0
FSL R9-5272,Glyc,7,3.65E+07,1.10E+09,cnt,1,3
FSL R9-5400,Glyc,7,7.36E+05,2.21E+07,cnt,1,3
FSL R9-5502,Glyc,7,1.85E+06,5.55E+07,cnt,1,3
FSL R9-5344,Glyc,7,1.64E+07,4.92E+08,cnt,1,3
FSL R9-6232,Glyc,7,2.28E+05,6.84E+06,cnt,1,2
APC,Glyc,0,1.71E+03,5.13E+04,cnt,1,0
APC,Glyc,1,1.68E+04,5.04E+05,cnt,1,1
APC,Glyc,3,1.69E+04,5.07E+05,cnt,1,1
APC,Glyc,4,4.90E+04,1.47E+06,cnt,1,1
APC,Glyc,7,1.07E+05,1.07E+05,cnt,1,2
FSL R9-5272,Glyc,Inoculum,1.48E+09,4.44E+08,cnt,2,6
FSL R9-5400,Glyc,Inoculum,1.32E+09,3.96E+08,cnt,2,6
FSL R9-5502,Glyc,Inoculum,1.44E+09,4.32E+08,cnt,2,6
FSL R9-5344,Glyc,Inoculum,1.37E+09,4.11E+08,cnt,2,6
FSL R9-6232,Glyc,Inoculum,9.69E+08,2.91E+08,cnt,2,6
FSL R9-5272,Glyc,0,1.34E+07,4.02E+08,cnt,2,3
FSL R9-5400,Glyc,0,6.09E+06,1.83E+08,cnt,2,3
FSL R9-5502,Glyc,0,4.49E+06,1.35E+08,cnt,2,3
FSL R9-5344,Glyc,0,5.91E+06,1.77E+08,cnt,2,3
FSL R9-6232,Glyc,0,1.89E+06,5.67E+07,cnt,2,3
FSL R9-5272,Glyc,1,2.56E+06,7.68E+07,cnt,2,3
FSL R9-5400,Glyc,1,1.69E+05,5.07E+06,cnt,2,2
FSL R9-5502,Glyc,1,2.76E+05,8.28E+06,cnt,2,2
FSL R9-5344,Glyc,1,2.64E+05,7.92E+06,cnt,2,2
FSL R9-6232,Glyc,1,9.22E+03,2.77E+05,cnt,2,2
FSL R9-5272,Glyc,3,6.99E+05,2.10E+07,cnt,2,2
FSL R9-5400,Glyc,3,3.99E+04,1.20E+06,cnt,2,1
FSL R9-5502,Glyc,3,6.44E+03,1.93E+05,cnt,2,1
FSL R9-5344,Glyc,3,3.71E+04,1.11E+06,cnt,2,1
FSL R9-6232,Glyc,3,4.50E+04,1.35E+06,cnt,2,2
FSL R9-5272,Glyc,4,1.75E+06,5.25E+07,cnt,2,2
FSL R9-5400,Glyc,4,5.21E+03,1.56E+05,cnt,2,1
FSL R9-5502,Glyc,4,0.00E+00,,no_growth,2,1
FSL R9-5344,Glyc,4,1.58E+04,4.74E+05,cnt,2,1
FSL R9-6232,Glyc,4,1.54E+03,4.62E+04,cnt,2,1
FSL R9-5272,Glyc,7,7.89E+07,2.37E+09,cnt,2,3
FSL R9-5400,Glyc,7,2.30E+07,6.90E+08,cnt,2,3
FSL R9-5502,Glyc,7,2.85E+04,8.55E+05,cnt,2,1
FSL R9-5344,Glyc,7,2.38E+07,7.14E+08,cnt,2,3
FSL R9-6232,Glyc,7,4.07E+07,1.22E+09,cnt,2,3
APC,Glyc,0,4.50E+03,1.35E+05,cnt,2,1
APC,Glyc,1,5.11E+04,1.53E+06,cnt,2,0
APC,Glyc,3,2.38E+05,7.14E+06,cnt,2,2
APC,Glyc,4,8.49E+04,2.55E+06,cnt,2,2
APC,Glyc,7,2.20E+06,6.60E+07,cnt,2,2
FSL R9-5272,Glyc,Inoculum,1.63E+09,4.89E+08,cnt,3,6
FSL R9-5400,Glyc,Inoculum,1.15E+09,3.45E+08,cnt,3,6
FSL R9-5502,Glyc,Inoculum,1.05E+09,3.15E+08,cnt,3,6
FSL R9-5344,Glyc,Inoculum,1.13E+09,3.39E+08,cnt,3,6
FSL R9-6232,Glyc,Inoculum,8.89E+08,2.67E+08,cnt,3,6
FSL R9-5272,Glyc,0,1.09E+07,3.27E+08,cnt,3,3
FSL R9-5400,Glyc,0,9.01E+06,2.70E+08,cnt,3,3
FSL R9-5502,Glyc,0,4.02E+06,1.21E+08,cnt,3,2
FSL R9-5344,Glyc,0,9.88E+06,2.96E+08,cnt,3,3
FSL R9-6232,Glyc,0,3.44E+06,1.03E+08,cnt,3,3
FSL R9-5272,Glyc,1,1.74E+03,5.22E+04,cnt,3,3
FSL R9-5400,Glyc,1,6.75E+04,2.03E+06,cnt,3,2
FSL R9-5502,Glyc,1,1.56E+05,4.68E+06,cnt,3,2
FSL R9-5344,Glyc,1,3.58E+05,1.07E+07,cnt,3,2
FSL R9-6232,Glyc,1,1.43E+04,4.29E+05,cnt,3,2
FSL R9-5272,Glyc,3,1.50E+06,4.50E+07,cnt,3,2
FSL R9-5400,Glyc,3,6.54E+03,1.96E+05,cnt,3,1
FSL R9-5502,Glyc,3,2.96E+04,8.88E+05,cnt,3,1
FSL R9-5344,Glyc,3,7.36E+04,2.21E+06,cnt,3,2
FSL R9-6232,Glyc,3,5.93E+03,1.78E+05,cnt,3,1
FSL R9-5272,Glyc,4,1.65E+06,4.95E+07,cnt,3,2
FSL R9-5400,Glyc,4,2.66E+04,7.98E+05,cnt,3,2
FSL R9-5502,Glyc,4,5.21E+03,1.56E+05,cnt,3,1
FSL R9-5344,Glyc,4,2.86E+03,8.58E+04,cnt,3,1
FSL R9-6232,Glyc,4,1.13E+04,3.39E+05,cnt,3,2
FSL R9-5272,Glyc,7,2.04E+07,6.12E+08,cnt,3,3
FSL R9-5400,Glyc,7,1.64E+05,4.92E+06,cnt,3,2
FSL R9-5502,Glyc,7,8.17E+02,2.45E+04,cnt,3,3
FSL R9-5344,Glyc,7,1.39E+07,4.17E+08,cnt,3,3
FSL R9-6232,Glyc,7,1.02E+07,3.06E+08,cnt,3,3
APC,Glyc,0,6.44E+03,1.93E+05,cnt,3,1
APC,Glyc,1,2.56E+04,7.68E+05,cnt,3,2
APC,Glyc,3,5.01E+04,1.50E+06,cnt,3,2
APC,Glyc,4,6.24E+04,1.87E+06,cnt,3,2
APC,Glyc,7,4.40E+04,1.32E+06,cnt,3,2
FSL R9-5272,M9,Inoculum,1.54E+09,4.62E+08,cnt,1,6
FSL R9-5400,M9,Inoculum,1.81E+09,5.43E+08,cnt,1,6
FSL R9-5502,M9,Inoculum,1.51E+09,4.53E+08,cnt,1,6
FSL R9-5344,M9,Inoculum,1.56E+09,4.68E+08,cnt,1,6
FSL R9-6232,M9,Inoculum,1.60E+09,4.80E+08,cnt,1,6
FSL R9-5272,M9,0,4.41E+06,1.32E+08,cnt,1,2
FSL R9-5400,M9,0,1.67E+06,5.01E+07,cnt,1,2
FSL R9-5502,M9,0,4.84E+06,1.45E+08,cnt,1,2
FSL R9-5344,M9,0,7.10E+06,2.13E+08,cnt,1,2
